Date,Description,Amount
2026-02-01,ACME CORP PAYROLL DIRECT DEP,6200.00
2026-02-02,STARBUCKS STORE #2202,-6.19
2026-02-03,GREENFIELD APARTMENTS LLC,-1850.00
2026-02-06,WHOLEFDS MKT #1006,-81.25
2026-02-09,CITY POWER AND WATER UTIL,-135.58
2026-02-12,IRONWORKS FITNESS MEMBERSHIP,-45.00
2026-02-13,WHOLEFDS MKT #1013,-93.75
2026-02-16,STARBUCKS STORE #2216,-4.62
2026-02-19,UBER TRIP HELP.UBER.COM,-16.74
2026-02-20,WHOLEFDS MKT #1020,-91.16
2026-02-23,UBER TRIP HELP.UBER.COM,-29.81
2026-02-23,STARBUCKS STORE #2223,-5.37
2026-02-27,WHOLEFDS MKT #1027,-116.82
2026-03-01,ACME CORP PAYROLL DIRECT DEP,6200.00
2026-03-02,STARBUCKS STORE #2202,-5.36
2026-03-03,GREENFIELD APARTMENTS LLC,-1850.00
2026-03-06,WHOLEFDS MKT #1006,-102.46
2026-03-07,UBER TRIP HELP.UBER.COM,-28.96
2026-03-09,CITY POWER AND WATER UTIL,-126.78
2026-03-12,IRONWORKS FITNESS MEMBERSHIP,-45.00
2026-03-12,UBER TRIP HELP.UBER.COM,-20.56
2026-03-13,WHOLEFDS MKT #1013,-93.91
2026-03-16,STARBUCKS STORE #2216,-7.55
2026-03-20,WHOLEFDS MKT #1020,-123.47
2026-03-23,STARBUCKS STORE #2223,-4.91
2026-03-25,PAYMENT TO CREDIT CARD,-360.64
2026-03-27,WHOLEFDS MKT #1027,-117.94
2026-04-01,ACME CORP PAYROLL DIRECT DEP,6200.00
2026-04-02,STARBUCKS STORE #2202,-5.41
2026-04-03,GREENFIELD APARTMENTS LLC,-1850.00
2026-04-04,UBER TRIP HELP.UBER.COM,-15.92
2026-04-06,WHOLEFDS MKT #1006,-107.60
2026-04-09,CITY POWER AND WATER UTIL,-125.14
2026-04-12,IRONWORKS FITNESS MEMBERSHIP,-45.00
2026-04-13,WHOLEFDS MKT #1013,-121.47
2026-04-16,STARBUCKS STORE #2216,-5.66
2026-04-20,WHOLEFDS MKT #1020,-110.93
2026-04-20,UBER TRIP HELP.UBER.COM,-18.85
2026-04-22,AUTO REPAIR SHOP,-540.00
2026-04-23,STARBUCKS STORE #2223,-4.82
2026-04-25,PAYMENT TO CREDIT CARD,-174.22
2026-04-27,WHOLEFDS MKT #1027,-123.09
2026-05-01,ACME CORP PAYROLL DIRECT DEP,6200.00
2026-05-02,STARBUCKS STORE #2202,-6.35
2026-05-03,GREENFIELD APARTMENTS LLC,-1850.00
2026-05-06,WHOLEFDS MKT #1006,-113.51
2026-05-09,CITY POWER AND WATER UTIL,-124.21
2026-05-12,IRONWORKS FITNESS MEMBERSHIP,-45.00
2026-05-13,WHOLEFDS MKT #1013,-115.09
2026-05-16,STARBUCKS STORE #2216,-5.58
2026-05-20,WHOLEFDS MKT #1020,-114.18
2026-05-22,UBER TRIP HELP.UBER.COM,-18.42
2026-05-23,STARBUCKS STORE #2223,-8.20
2026-05-25,UBER TRIP HELP.UBER.COM,-19.90
2026-05-25,PAYMENT TO CREDIT CARD,-295.99
2026-05-27,WHOLEFDS MKT #1027,-83.57
2026-06-01,ACME CORP PAYROLL DIRECT DEP,6200.00
2026-06-02,STARBUCKS STORE #2202,-7.07
2026-06-03,GREENFIELD APARTMENTS LLC,-1850.00
2026-06-06,WHOLEFDS MKT #1006,-83.31
2026-06-08,UBER TRIP HELP.UBER.COM,-28.11
2026-06-09,CITY POWER AND WATER UTIL,-126.05
2026-06-12,IRONWORKS FITNESS MEMBERSHIP,-45.00
2026-06-13,WHOLEFDS MKT #1013,-125.66
2026-06-14,UBER TRIP HELP.UBER.COM,-32.69
2026-06-16,STARBUCKS STORE #2216,-5.07
2026-06-20,WHOLEFDS MKT #1020,-108.36
2026-06-23,STARBUCKS STORE #2223,-5.06
2026-06-25,PAYMENT TO CREDIT CARD,-356.87
2026-06-27,WHOLEFDS MKT #1027,-115.90
2026-07-01,ACME CORP PAYROLL DIRECT DEP,6200.00
2026-07-02,STARBUCKS STORE #2202,-7.22
2026-07-03,GREENFIELD APARTMENTS LLC,-1850.00
2026-07-06,WHOLEFDS MKT #1006,-87.64
